,dma_code,dma_name,zip_code,city,state
4987,533,HARTFORD & NEW HAVEN,6127,,
4988,533,HARTFORD & NEW HAVEN,6128,,
4989,533,HARTFORD & NEW HAVEN,6129,,
4990,533,HARTFORD & NEW HAVEN,6131,,
4991,533,HARTFORD & NEW HAVEN,6132,,
4992,533,HARTFORD & NEW HAVEN,6133,,
4993,533,HARTFORD & NEW HAVEN,6134,,
4994,533,HARTFORD & NEW HAVEN,6137,,
4995,533,HARTFORD & NEW HAVEN,6138,,
4996,533,HARTFORD & NEW HAVEN,6140,,
4997,533,HARTFORD & NEW HAVEN,6141,,
4998,533,HARTFORD & NEW HAVEN,6142,,
4999,533,HARTFORD & NEW HAVEN,6143,,
5000,533,HARTFORD & NEW HAVEN,6144,,
5001,533,HARTFORD & NEW HAVEN,6145,,
5002,533,HARTFORD & NEW HAVEN,6146,,
5003,533,HARTFORD & NEW HAVEN,6147,,
5004,533,HARTFORD & NEW HAVEN,6150,,
5005,533,HARTFORD & NEW HAVEN,6151,,
5006,533,HARTFORD & NEW HAVEN,6152,,
5007,533,HARTFORD & NEW HAVEN,6153,,
5008,533,HARTFORD & NEW HAVEN,6154,,
5009,533,HARTFORD & NEW HAVEN,6155,,
5010,533,HARTFORD & NEW HAVEN,6156,,
5011,533,HARTFORD & NEW HAVEN,6160,,
5012,533,HARTFORD & NEW HAVEN,6161,,
5013,533,HARTFORD & NEW HAVEN,6167,,
5014,533,HARTFORD & NEW HAVEN,6176,,
5015,533,HARTFORD & NEW HAVEN,6180,,
5016,533,HARTFORD & NEW HAVEN,6183,,
5017,533,HARTFORD & NEW HAVEN,6226,,
5018,533,HARTFORD & NEW HAVEN,6230,,
5019,533,HARTFORD & NEW HAVEN,6231,,
5020,533,HARTFORD & NEW HAVEN,6232,,
5021,533,HARTFORD & NEW HAVEN,6233,,
5022,533,HARTFORD & NEW HAVEN,6234,,
5023,533,HARTFORD & NEW HAVEN,6235,,
5024,533,HARTFORD & NEW HAVEN,6237,,
5025,533,HARTFORD & NEW HAVEN,6238,,
5026,533,HARTFORD & NEW HAVEN,6239,,
5027,533,HARTFORD & NEW HAVEN,6241,,
5028,533,HARTFORD & NEW HAVEN,6242,,
5029,533,HARTFORD & NEW HAVEN,6243,,
5030,533,HARTFORD & NEW HAVEN,6244,,
5031,533,HARTFORD & NEW HAVEN,6245,,
5032,533,HARTFORD & NEW HAVEN,6246,,
5033,533,HARTFORD & NEW HAVEN,6247,,
5034,533,HARTFORD & NEW HAVEN,6248,,
5035,533,HARTFORD & NEW HAVEN,6249,,
5036,533,HARTFORD & NEW HAVEN,6250,,
5037,533,HARTFORD & NEW HAVEN,6251,,
5038,533,HARTFORD & NEW HAVEN,6254,,
5039,533,HARTFORD & NEW HAVEN,6255,,
5040,533,HARTFORD & NEW HAVEN,6256,,
5041,533,HARTFORD & NEW HAVEN,6258,,
5042,533,HARTFORD & NEW HAVEN,6259,,
5043,533,HARTFORD & NEW HAVEN,6260,,
5044,533,HARTFORD & NEW HAVEN,6262,,
5045,533,HARTFORD & NEW HAVEN,6263,,
5046,533,HARTFORD & NEW HAVEN,6264,,
5047,533,HARTFORD & NEW HAVEN,6265,,
5048,533,HARTFORD & NEW HAVEN,6266,,
5049,533,HARTFORD & NEW HAVEN,6267,,
5050,533,HARTFORD & NEW HAVEN,6268,,
5051,533,HARTFORD & NEW HAVEN,6269,,
5052,533,HARTFORD & NEW HAVEN,6277,,
5053,533,HARTFORD & NEW HAVEN,6278,,
5054,533,HARTFORD & NEW HAVEN,6279,,
